feature_ID	dataset	name_in_figures	lipid_class	chain_length	double_bond	sn_position	refmet_super_class	refmet_main_class	refmet_sub_class
CoA(8:1)	metab-t-acoa	Octenoyl-CoA	Acyl CoAs	8	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(9:0)	metab-t-acoa	Nonanoyl-CoA	Acyl CoAs	9	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs
CoA(9:1)	metab-t-acoa	Nonenoyl-CoA	Acyl CoAs	9	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs
coenzyme A	metab-t-acoa	Coenzyme A	NA	NA	NA	NA	Nucleic acids	Purines	Coenzyme A
ADP-ribose	metab-t-nuc	ADP-ribose	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNDP
AICAR	metab-t-nuc	Acadesine	NA	NA	NA	NA	Nucleic acids	Imidazoles	1-ribosyl-imidazole carboxamides
CDP	metab-t-nuc	CDP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNDP
CTP	metab-t-nuc	CTP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNTP
GDP-mannose	metab-t-nuc	GDP-mannose	NA	NA	NA	NA	Nucleic acids	Purines	Purine nucleotide sugars
GTP	metab-t-nuc	GTP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNTP
NMN	metab-t-nuc	Nicotinamide ribotide	NA	NA	NA	NA	Nucleic acids	Nicotinamides	Nicotinamide nucleotides
NaMN	metab-t-nuc	Nicotinic acid mononucleotide	NA	NA	NA	NA	Organic oxygen compounds	Organooxygen compounds	Organooxygen compounds
PRPP	metab-t-nuc	Phosphoribosyl pyrophosphate	NA	NA	NA	NA	Carbohydrates	Monosaccharides	Monosaccharide phosphates
S-AMP	metab-t-nuc	Adenylsuccinic acid	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNMP
S-adenosylhomocysteine	metab-t-nuc	S-Adenosylhomocysteine	NA	NA	NA	NA	Carbohydrates	Glycosyl compounds	Glycosylamines
UDP-galactose	metab-t-nuc	UDP-galactose	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNDP
XMP	metab-t-nuc	XMP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNMP
ZMP	metab-t-nuc	AICA ribonucleotide	NA	NA	NA	NA	Nucleic acids	Imidazoles	Imidazole ribonucleosides and ribonucleotides
adenine	metab-t-nuc	Adenine	NA	NA	NA	NA	Nucleic acids	Purines	6-aminopurines
dATP	metab-t-nuc	dATP	NA	NA	NA	NA	Nucleic acids	Purines	Purine dNTP
dCTP	metab-t-nuc	dCTP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine dNTP
dTTP	metab-t-nuc	dTTP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine dNTP
11,12-DiHETrE	metab-t-oxylipneg	11,12-DiHETrE	HETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETrE
11,12-EpETrE	metab-t-oxylipneg	11,12-EpETrE	EpETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	EpETrE
12-HETE	metab-t-oxylipneg	12-HETE	HETE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETE
13-HODE	metab-t-oxylipneg	13-HODE	HODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HODEs
13-HpODE	metab-t-oxylipneg	13-HpODE	HpODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HpODEs
13-Oxo-ODE	metab-t-oxylipneg	13-Oxo-ODE	OxoODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	OxoODEs
14,15-DiHETrE	metab-t-oxylipneg	14,15-DiHETrE	HETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETrE
14,15-EpETrE	metab-t-oxylipneg	14,15-EpETrE	EpETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	EpETrE
20-HETE	metab-t-oxylipneg	20-HETE	HETE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETE
5,6-DiHETrE	metab-t-oxylipneg	5,6-DiHETrE	HETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETrE
5-HETE	metab-t-oxylipneg	5-HETE	HETE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETE
8,9-DiHETrE	metab-t-oxylipneg	8,9-DiHETrE	HETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETrE
8,9-EpETrE	metab-t-oxylipneg	8,9-EpETrE	EpETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	EpETrE
9,10-DiHOME	metab-t-oxylipneg	9,10-DiHOME	DiHOMEs	NA	NA	NA	Fatty Acyls	Octadecanoids	DiHOMEs
9-HETE	metab-t-oxylipneg	9-HETE	HETE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETE
9-HODE	metab-t-oxylipneg	9-HODE	HODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HODEs
9-HOTrE	metab-t-oxylipneg	9-HOTrE	HOTrEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HOTrEs
9S-HpODE	metab-t-oxylipneg	9S-HpODE	HpODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HpODEs
LTB4	metab-t-oxylipneg	LTB4	Leukotrienes	NA	NA	NA	Fatty Acyls	Eicosanoids	Leukotrienes
PGE2	metab-t-oxylipneg	PGE2	Prostaglandins	NA	NA	NA	Fatty Acyls	Eicosanoids	Prostaglandins
Resolvin D1	metab-t-oxylipneg	Resolvin D1	Docosanoids	NA	NA	NA	Fatty Acyls	Docosanoids	Docosanoids
Resolvin D2	metab-t-oxylipneg	Resolvin D2	Docosanoids	NA	NA	NA	Fatty Acyls	Docosanoids	Docosanoids
Resolvin D3	metab-t-oxylipneg	Resolvin D3	Docosanoids	NA	NA	NA	Fatty Acyls	Docosanoids	Docosanoids
ketoisovalerate	metab-t-ka	Ketoisovaleric acid	Branched FA	NA	NA	NA	Fatty Acyls	Fatty acids	Branched FA
Arachidonoyl-EA	metab-t-etamidpos	Arachidonoyl-EA	NAE	20	4	NA	Fatty Acyls	Fatty amides	NAE
2-Hydroxyglutarate	metab-t-tca	2-Hydroxyglutaric acid	Hydroxy FA	NA	NA	NA	Fatty Acyls	Fatty acids	Hydroxy FA
Isocitrate	metab-t-tca	Isocitric acid	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids
Ketoglutarate	metab-t-tca	Oxoglutaric acid	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids
3-(1-pyrazolyl)-alanine_feature1	metab-u-lrppos	3-(1-Pyrazolyl)-alanine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids
Car(16:1)_feature1	metab-u-lrppos	CAR 16:1	Car	16	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines
Car(18:1)_feature1	metab-u-lrppos	CAR 18:1	Car	18	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines
Car(18:2)_feature1	metab-u-lrppos	CAR 18:2	Car	18	2	NA	Fatty Acyls	Fatty esters	Acyl carnitines
Cer(d34:0)>Cer(d18:0/16:0)_feature1	metab-u-lrppos	Cer 18:0;O2/16:0	Cer	34	0	Cer 18:0;O2/16:0	Sphingolipids	Ceramides	DHCer
Cer(d36:1)>Cer(d18:1/18:0)_M-H2O_feature1	metab-u-lrppos	Cer 18:1;O2/18:0	Cer	36	1	Cer 18:1;O2/18:0	Sphingolipids	Ceramides	Cer
Cer(d36:2)>Cer(d18:2/18:0)_feature1	metab-u-lrppos	Cer 18:2;O2/18:0	Cer	36	2	Cer 18:2;O2/18:0	Sphingolipids	Ceramides	Cer
Cer(d40:1)>Cer(d18:1/22:0)_feature2	metab-u-lrppos	Cer 18:1;O2/22:0	Cer	40	1	Cer 18:1;O2/22:0	Sphingolipids	Ceramides	Cer
Cer(d40:2)>Cer(d18:2/22:0)_feature2	metab-u-lrppos	Cer 18:2;O2/22:0	Cer	40	2	Cer 18:2;O2/22:0	Sphingolipids	Ceramides	Cer
Cer(d41:1)>Cer(d18:1/23:0)_feature1	metab-u-lrppos	Cer 18:1;O2/23:0	Cer	41	1	Cer 18:1;O2/23:0	Sphingolipids	Ceramides	Cer
Cer(d41:2)>Cer(d18:2/23:0)_feature2	metab-u-lrppos	Cer 18:2;O2/23:0	Cer	41	2	Cer 18:2;O2/23:0	Sphingolipids	Ceramides	Cer
Cer(d42:1)>Cer(d18:1/24:0)_feature3	metab-u-lrppos	Cer 18:1;O2/24:0	Cer	42	1	Cer 18:1;O2/24:0	Sphingolipids	Ceramides	Cer
Cer(d42:2)>Cer(d18:1/24:1)_feature3	metab-u-lrppos	Cer 18:1;O2/24:1	Cer	42	2	Cer 18:1;O2/24:1	Sphingolipids	Ceramides	Cer
Cer(d42:2)>Cer(d18:2/24:0)_feature4	metab-u-lrppos	Cer 18:2;O2/24:0	Cer	42	2	Cer 18:2;O2/24:0	Sphingolipids	Ceramides	Cer
Cer(d42:3)_feature2	metab-u-lrppos	Cer 42:3;O2	Cer	42	3	NA	Sphingolipids	Ceramides	Cer
Cer(d43:1)>Cer(d18:1/25:0)_feature1and2	metab-u-lrppos	Cer 18:1;O2/25:0	Cer	43	1	Cer 18:1;O2/25:0	Sphingolipids	Ceramides	Cer
Cer(d44:2)>Cer(d18:1/26:1)_feature2	metab-u-lrppos	Cer 18:1;O2/26:1	Cer	44	2	Cer 18:1;O2/26:1	Sphingolipids	Ceramides	Cer
Cer(d44:3)>Cer(d18:2/26:1)_feature1	metab-u-lrppos	Cer 18:1;O2/26:1	Cer	44	3	Cer 18:2;O2/26:1	Sphingolipids	Ceramides	Cer
DG(32:0)>DG(16:0_16:0_0:0)_M+NH3_feature1	metab-u-lrppos	DG 16:0/16:0	DG	32	0	DG 16:0/16:0	Glycerolipids	Diradylglycerols	DAG
DG(32:0)>DG(16:0_16:0_0:0)_M+NH3_feature2	metab-u-lrppos	DG 16:0/16:0	DG	32	0	DG 16:0/16:0	Glycerolipids	Diradylglycerols	DAG
DG(32:1)>DG(16:0_16:1_0:0)_feature1	metab-u-lrppos	DG 16:0_16:1	DG	32	1	DG 16:0_16:1	Glycerolipids	Diradylglycerols	DAG
DG(34:1)>DG(16:0_18:1_0:0)_M+NH3_feature1	metab-u-lrppos	DG 16:0_18:1	DG	34	1	DG 16:0_18:1	Glycerolipids	Diradylglycerols	DAG
DG(34:1)>DG(16:0_18:1_0:0)_M+NH3_feature2	metab-u-lrppos	DG 16:0_18:1	DG	34	1	DG 16:0_18:1	Glycerolipids	Diradylglycerols	DAG
DG(35:4)_feature1	metab-u-lrppos	DG 35:4	DG	35	4	NA	Glycerolipids	Diradylglycerols	DAG
DG(36:1)>DG(18:0_18:1_0:0)_M+NH3_feature1	metab-u-lrppos	DG 18:0_18:1	DG	36	1	DG 18:0_18:1	Glycerolipids	Diradylglycerols	DAG
DG(36:1)>DG(18:0_18:1_0:0)_feature2	metab-u-lrppos	DG 18:0_18:1	DG	36	1	DG 18:0_18:1	Glycerolipids	Diradylglycerols	DAG
DG(36:2)>DG(18:0_18:2_0:0)_M+NH3_feature2	metab-u-lrppos	DG 18:0_18:2	DG	36	2	DG 18:0_18:2	Glycerolipids	Diradylglycerols	DAG
DG(36:2)>DG(18:1_18:1_0:0)_M+NH3_feature3	metab-u-lrppos	DG 18:1_18:1	DG	36	2	DG 18:1_18:1	Glycerolipids	Diradylglycerols	DAG
DG(36:3)>DG(18:1_18:2_0:0)_M+NH3_feature1	metab-u-lrppos	DG 18:1_18:2	DG	36	3	DG 18:1_18:2	Glycerolipids	Diradylglycerols	DAG
DG(36:3)>DG(18:1_18:2_0:0)_M+NH3_feature2	metab-u-lrppos	DG 18:1_18:2	DG	36	3	DG 18:1_18:2	Glycerolipids	Diradylglycerols	DAG
DG(36:4)>DG(16:0_20:4_0:0)_M+NH3_feature2	metab-u-lrppos	DG 16:0_20:4	DG	36	4	DG 16:0_20:4	Glycerolipids	Diradylglycerols	DAG
DG(38:3)>DG(18:2_20:1_0:0)_feature2	metab-u-lrppos	DG 18:2_20:1	DG	38	3	DG 18:2_20:1	Glycerolipids	Diradylglycerols	DAG
DG(38:4)>DG(16:0_22:4_0:0)_feature4	metab-u-lrppos	DG 38:4	DG	38	4	NA	Glycerolipids	Diradylglycerols	DAG
DG(38:4)>DG(18:0_20:4_0:0)_feature6	metab-u-lrppos	DG 18:0_20:4	DG	38	4	DG 18:0_20:4	Glycerolipids	Diradylglycerols	DAG
DG(38:5)>DG(18:1_20:4_0:0)_feature2	metab-u-lrppos	DG 18:1_20:4	DG	38	5	DG 18:1_20:4	Glycerolipids	Diradylglycerols	DAG
DG(38:6)>DG(18:2_20:4_0:0)_feature1	metab-u-lrppos	DG 18:2_20:4	DG	38	6	DG 18:2_20:4	Glycerolipids	Diradylglycerols	DAG
DG(40:4)>DG(18:0_22:4_0:0)_M+NH3_feature2	metab-u-lrppos	DG 18:0_22:4	DG	40	4	DG 18:0_22:4	Glycerolipids	Diradylglycerols	DAG
DG(40:4)>DG(18:0_22:4_0:0)_M+NH3_feature3	metab-u-lrppos	DG 18:0_22:4	DG	40	4	DG 18:0_22:4	Glycerolipids	Diradylglycerols	DAG
DG(40:6)>DG(18:0_22:6_0:0)_feature6	metab-u-lrppos	DG 18:0_22:6	DG	40	6	DG 18:0_22:6	Glycerolipids	Diradylglycerols	DAG
DG(40:7)>DG(18:1_22:6_0:0)_M+NH3_feature3	metab-u-lrppos	DG 18:1_22:6	DG	40	7	DG 18:1_22:6	Glycerolipids	Diradylglycerols	DAG
EA(15:0)_feature1	metab-u-lrppos	Pentadecanoyl-EA	NAE	15	0	NA	Fatty Acyls	Fatty amides	NAE
EA(17:0)_feature1	metab-u-lrppos	Margaroyl-EA	NAE	17	0	NA	Fatty Acyls	Fatty amides	NAE
EA(18:0)_feature1	metab-u-lrppos	Stearoyl-EA	NAE	18	0	NA	Fatty Acyls	Fatty amides	NAE
EA(22:0)_feature1	metab-u-lrppos	Behenoyl-EA	NAE	22	0	NA	Fatty Acyls	Fatty amides	NAE
Hex2Cer(d42:1)>Hex2Cer(d18:1/24:0)_feature1	metab-u-lrppos	Hex2Cer 18:1;O2/24:0	Hex2Cer	42	1	Hex2Cer 18:1;O2/24:0	Sphingolipids	Glycosphingolipids	Hex2Cer
HexCer(d40:1)>HexCer(d18:1/22:0)_feature3	metab-u-lrppos	HexCer 18:1;O2/22:0	HexCer	40	1	HexCer 18:1;O2/22:0	Sphingolipids	Glycosphingolipids	HexCer
HexCer(d40:1)>HexCer(d18:1_22:0)_feature2	metab-u-lrppos	HexCer 18:1;O2/22:0	HexCer	40	1	HexCer 18:1;O2/22:0	Sphingolipids	Glycosphingolipids	HexCer
HexCer(d40:1-OH)>HexCer(d18:1/22:0-OH)_feature2	metab-u-lrppos	HexCer 18:1;O2/22:0;O	HexCer	40	1	HexCer 18:1;O2/22:0;O	Sphingolipids	Glycosphingolipids	HexCer
HexCer(d40:2)>HexCer(d18:1/22:1)_feature3	metab-u-lrppos	HexCer 18:1;O2/22:1	HexCer	40	2	HexCer 18:1;O2/22:1	Sphingolipids	Glycosphingolipids	HexCer
HexCer(d42:1)>HexCer(d18:1/24:0)_feature1	metab-u-lrppos	HexCer 18:1;O2/24:0	HexCer	42	1	HexCer 18:1;O2/24:0	Sphingolipids	Glycosphingolipids	HexCer
HexCer(d42:2)>HexCer(d18:1/24:1)_feature3	metab-u-lrppos	HexCer 42:2;O2	HexCer	42	2	HexCer 18:1;O2/24:1	Sphingolipids	Glycosphingolipids	HexCer
LPC(17:0/0:0)_and_LPC(0:0/17:0)_feature1and2	metab-u-lrppos	LPC 17:0	LPC	17	0	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(18:0)>LPC(18:0/0:0)_and_LPC(0:0/18:0)_feature1and2	metab-u-lrppos	LPC 18:0	LPC	18	0	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(18:1)>LPC(18:1/0:0)_and_LPC(0:0/18:1)_feature1and2	metab-u-lrppos	LPC 18:1	LPC	18	1	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	metab-u-lrppos	LPC 18:2	LPC	18	2	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(19:0)>LPC(0:0/19:0)_feature1	metab-u-lrppos	LPC 19:0	LPC	19	0	LPC 0:0/19:0*	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(20:0/0:0)_and_LPC(0:0/20:0)_feature1and2	metab-u-lrppos	LPC 20:0	LPC	20	0	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(20:1)>LPC(20:1/0:0)_and_LPC(0:0/20:1)_feature1and2	metab-u-lrppos	LPC 20:1	LPC	20	1	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(20:1/0:0)_and_LPC(0:0/20:1)_feature3	metab-u-lrppos	TG 12:0_16:0_22:6	LPC	20	1	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(20:4)>LPC(20:4/0:0)_and_LPC(0:0/20:4)_feature1and2	metab-u-lrppos	LPC 20:4	LPC	20	4	NA	Glycerophospholipids	Glycerophosphocholines	LPC
LPE(18:0)>LPE(18:0/0:0)_and_LPE(0:0/18:0)_feature1and2	metab-u-lrppos	LPE 18:0	LPE	18	0	NA	Glycerophospholipids	Glycerophosphoethanolamines	LPE
PC(30:0)_feature1	metab-u-lrppos	PC 30:0	PC	30	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(30:0)_feature2	metab-u-lrppos	PC 30:0	PC	30	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(31:0)_feature2	metab-u-lrppos	PC 31:0	PC	31	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(32:0)_feature1	metab-u-lrppos	PC 32:0	PC	32	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(32:0)_feature2	metab-u-lrppos	PC 32:0	PC	32	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(32:1)_feature1	metab-u-lrppos	PC 32:1	PC	32	1	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(32:2)_feature1	metab-u-lrppos	PC 32:2	PC	32	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(33:0)_feature3	metab-u-lrppos	PC 33:0	PC	33	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(33:1)_feature1	metab-u-lrppos	PC 33:1	PC	33	1	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(34:0)_feature4	metab-u-lrppos	PC 34:0	PC	34	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(34:1)_feature2	metab-u-lrppos	PC 34:1	PC	34	1	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(34:2)_feature1	metab-u-lrppos	PC 34:2	PC	34	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(34:3)_feature3	metab-u-lrppos	PC 34:3	PC	34	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(34:4)_feature2	metab-u-lrppos	PC 34:4	PC	34	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(35:1)_feature1	metab-u-lrppos	PC 35:1	PC	35	1	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(35:2)_feature1	metab-u-lrppos	PC 35:2	PC	35	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(35:2)_feature2	metab-u-lrppos	PC 35:2	PC	35	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(35:3)_feature1	metab-u-lrppos	PC 35:3	PC	35	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(35:3)_feature3	metab-u-lrppos	PC 35:3	PC	35	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(35:4)_feature2	metab-u-lrppos	PC 35:4	PC	35	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:0)_feature3	metab-u-lrppos	PC 36:0	PC	36	0	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:1)_feature1	metab-u-lrppos	PC 36:1	PC	36	1	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:2)_M+Na_feature2	metab-u-lrppos	PC 36:2	PC	36	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:2)_feature3	metab-u-lrppos	PC 36:2	PC	36	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:3)_feature1	metab-u-lrppos	PC 36:3	PC	36	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:3)_feature2	metab-u-lrppos	PC 36:3	PC	36	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:3)_feature3	metab-u-lrppos	PC 36:3	PC	36	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:4)_feature2	metab-u-lrppos	PC 36:4	PC	36	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:4)_feature3	metab-u-lrppos	PC 36:4	PC	36	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:5)_feature1	metab-u-lrppos	PC 36:5	PC	36	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:5)_feature2	metab-u-lrppos	PC 36:5	PC	36	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:5)_feature3	metab-u-lrppos	PC 36:5	PC	36	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:1)_feature3	metab-u-lrppos	PC 37:1	PC	37	1	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:2)_feature2	metab-u-lrppos	PC 37:2	PC	37	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:3)_feature2	metab-u-lrppos	PC 37:3	PC	37	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:4)_feature3	metab-u-lrppos	PC 37:4	PC	37	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:4)_feature4	metab-u-lrppos	PC 37:4	PC	37	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(37:6)_feature4	metab-u-lrppos	PC 37:6	PC	37	6	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:1)_feature1	metab-u-lrppos	PC 38:1	PC	38	1	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:2)_feature3	metab-u-lrppos	PC 38:2	PC	38	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:2)_feature5	metab-u-lrppos	PC 38:2	PC	38	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:3)_feature2	metab-u-lrppos	PC 38:3	PC	38	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:3)_feature3	metab-u-lrppos	PC 38:3	PC	38	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:3)_feature4	metab-u-lrppos	PC 38:3	PC	38	3	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:4)_feature4	metab-u-lrppos	PC 38:4	PC	38	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:5)_feature3	metab-u-lrppos	PC 38:5	PC	38	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:6)_feature1	metab-u-lrppos	PC 38:6	PC	38	6	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(38:6)_feature2	metab-u-lrppos	PC 38:6	PC	38	6	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:4)_feature3	metab-u-lrppos	PC 39:4	PC	39	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:4)_feature5	metab-u-lrppos	PC 39:4	PC	39	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:5)_feature2	metab-u-lrppos	PC 39:5	PC	39	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(39:5)_feature6	metab-u-lrppos	PC 39:5	PC	39	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:2)_feature2	metab-u-lrppos	PC 40:2	PC	40	2	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:4)_feature2	metab-u-lrppos	PC 40:4	PC	40	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:5)_feature1	metab-u-lrppos	PC 40:5	PC	40	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:5)_feature4	metab-u-lrppos	PC 40:5	PC	40	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:6)_feature2	metab-u-lrppos	PC 40:6	PC	40	6	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:6)_feature3	metab-u-lrppos	PC 40:6	PC	40	6	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:7)_feature2	metab-u-lrppos	PC 40:7	PC	40	7	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(40:7)_feature3	metab-u-lrppos	PC 40:7	PC	40	7	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:4)_feature4	metab-u-lrppos	PC 42:4	PC	42	4	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:5)_feature6	metab-u-lrppos	PC 42:5	PC	42	5	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:6)_feature2	metab-u-lrppos	PC 42:6	PC	42	6	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(42:8)_feature2	metab-u-lrppos	PC 42:8	PC	42	8	NA	Glycerophospholipids	Glycerophosphocholines	PC
PC(O-30:0)_feature1	metab-u-lrppos	PC O-30:0	O-PC	30	0	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-31:0)_feature2	metab-u-lrppos	PC O-31:0	O-PC	31	0	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-32:1)_feature2	metab-u-lrppos	PC P-32:0 or PC O-32:1	O-PC	32	1	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:0)_feature1	metab-u-lrppos	PC O-34:0	O-PC	34	0	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-34:2)_feature1	metab-u-lrppos	PC P-34:1 or PC O-34:2	O-PC	34	2	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:1)_feature3	metab-u-lrppos	PC P-36:0 or PC O-36:1	O-PC	36	1	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:2)_feature1	metab-u-lrppos	PC P-36:1 or PC O-36:2	O-PC	36	2	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:2)_feature3	metab-u-lrppos	PC P-36:1 or PC O-36:2	O-PC	36	2	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:3)_feature1	metab-u-lrppos	PC P-36:2 or PC O-36:3	O-PC	36	3	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:4)_feature2	metab-u-lrppos	PC P-36:3 or PC O-36:4	O-PC	36	4	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:4)_feature4	metab-u-lrppos	PC P-36:3 or PC O-36:4	O-PC	36	4	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-36:5)_feature5	metab-u-lrppos	PC P-36:4 or PC O-36:5	O-PC	36	5	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:2)_feature3	metab-u-lrppos	PC P-38:1 or PC O-38:2	O-PC	38	2	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:4)_feature4	metab-u-lrppos	PC P-38:3 or PC O-38:4	O-PC	38	4	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
PC(O-38:4)_feature6	metab-u-lrppos	PC P-38:3 or PC O-38:4	O-PC	38	4	NA	Glycerophospholipids	Glycerophosphocholines	O-PC
